post_id,text,likes,comments,reposts,views,attachments
2999369,"Скандальная чемпионка ОИ-2024 по боксу Хелиф снялась для обложки Vogue

Чемпионка Олимпиады в Париже боксёрша Имане Хелиф снялась для обложки Vogue Arabia. Фотографом стал Тарек Мавад.

Скандал с участием Хелиф начался после того как ее соперница отказалась от продолжения боя через 46 секунд после его начала. В дальнейшем Хелиф подверглась травле в интернете. Олимпийский комитет Алжира и МОК выступили в защиту боксёрши.",308,41,57,28831,"['photo', 'photo', 'photo', 'photo', 'photo', 'photo', 'photo', 'photo', 'photo']"
2999359,"Виттория принимает странные увлечения ДиКаприо

Источники поделились, что девушка Леонардо Виттория Черетти полностью принимает его одержимость динозаврами. Это сильно пугало многих девушек до нее, но Виттория считает это даже милым. 

Напомним, что это не единственная странность, которой она потакает, не так давно Лео заметили развлекающимся с подругой модели в клубе, а нас следующий день он снова был с Черетти, как ни в чем не бывало",322,7,41,76658,"['photo', 'photo', 'photo', 'photo']"
2999347,"В интервью Vogue Лана Дель Рей объяснила выбор своего спутника 

Хоть интервью и было записано за месяц до свадьбы, многие фанаты нашли в одной из его частей объяснение неожиданным отношениям певицы: 

«Большинство людей, с которыми я встречалась, хотели, чтобы Голливуд был третьей частью наших отношений. Когда я выйду замуж, это будет человек, который, как и я, верит, что любви достаточно. Я буду достаточна для него, а он - для меня. Кто-то, с кем можно завести детей, если это произойдет, или просто быть друзьями. Я хочу, чтобы все было просто: мне нужно быть с кем-то, кто хочет планировать оставаться дома со мной. Любовь нужно беречь, и это волшебно»",963,6,55,34834,['photo']
2999332,"Женя Медведева рассталась со своим парнем — фигуристом Дмитрием Чигиревым 

Пара провстречалась больше двух лет. Она рассказала о своих отношениях в июне прошлого года, когда поделилась романтичными снимками в социальных сетях. 

Девушка рассказала о том, что теперь свободна в интервью глянцевому журналу. Евгения поделилась, что она все равно мечтает о большой любви и счастливой семье.",227,2,22,44171,['photo']
2999305,"У Козы уже десятки тысяч подписчиков 

Ночью любимец Оксаны Самойловой и Джигана открыла аккаунт в запрещенной соцсети. Это инициатива, конечно, Оксаны. У животного уже 40 тысяч подписчиков, хоть контента пока мало. Ожидается, что поклонников станет только больше. 

Напомним, что Мими - подарок Джигана, о котором его супруга мечтала очень давно.",315,4,142,43642,"['photo', 'photo']"
2999267,"Джей Ло завершила автограф-сессию после провокационного вопроса о Пи Дидди.

Недавно в сети появились старые фотографии её конфликта с рэпером, сделанные в 2000 году, когда они были парой. Ссора произошла после церемонии VMA в клубе Lotus в Нью-Йорке 7 сентября. В тот вечер также произошел инцидент с изнасилованием 13-летней девушки, за который обвиняют Комбса.

Певица не смогла сдержать раздражение и быстро покинула мероприятие.",339,48,74,87550,"['photo', 'photo', 'photo', 'video']"
2999253,"«КИМ, РОН И РУФУС»,- Семья Биберов поделилась совместными костюмами на Хэллоуин.

Хейли поделилась октябрьской подборкой, среди снимков которой есть и семейные с Хэллоуина. На них Хейли - главная героиня мультфильма «Ким Пять с плюсом», а Джастин с Джеком Блюзом Рон Так-себе и его лучший друг Руфус.

Также в подберке есть милый снимок хэллоуинской пижамки малыша.",2242,16,258,69898,"['photo', 'photo', 'photo', 'photo', 'photo', 'photo', 'photo', 'photo', 'photo']"
2999218,"ИКОНЫ: Мэделин Петш и Камила Мендес в образах Ким и Шиго на Хэллоуин 2025.

Актрисы, наиболее известныепо сериалу «Ривердэйл» закосплеили героинь мультсериала Disney «Ким пять с плюсом» в канун Дня Всех Святых.

Жаль, в этом году без третьей подруги Лили Рейнхарт.",2389,24,253,73083,"['photo', 'photo', 'photo', 'photo']"
2999195,"ПЛАНЫ ЖИЗЕЛЬ БЮНДХЕН НА БУДУЩЕЕ.

Совсем недавно стало известно, что модель беременна от своего парня тренера по джиу-джитсу Хоакима Валенте, но оказывается, звезда не спешит выходить за него замуж.

Источники объясняют это тем, что Жизель располагает совсем другими финансовыми возможностями, чем Хоаким, поэтому она не хочет ставить себя в не самое безопасное положение.

Напомним, что для Бюндхен это будет третий ребёнок, а для Валенте первый.",140,5,7,25963,"['photo', 'photo']"
2999186,"Александра Даддарио родила!

Звезда «Белого лотоса» впервые стала мамой в канун Дня Всех Святых - Хэллоуин, именно поэтому ребёнку положили сладости.

Сама же Александра сказала, что была очень удивлена, увидев «эту миску с конфетами».",1044,53,117,68496,"['photo', 'photo']"
